"RUA";"BAIRRO";"CIDADE";"CEP";"LATITUDE";"LONGITUDE"
" Avenida do Compositor";" Parque Residencial Jaguari";" Americana/SP";"13473-660";-22.720207;-47.320632
" Rua Estanislau Pacce";" Jardim Santana";" Americana/SP";"13478-171";-22.734288;-47.320632
" Rua Benedito Lacerda";" Parque Residencial Jaguari";" Americana/SP";"13473-683";-22.718487;-47.320632
" Rua Cartola";" Parque Residencial Jaguari";" Americana/SP";"13473-680";-22.718688;-47.320632
" Rua Operário Oswaldo dos Santos";" Vila Camargo";" Americana/SP";"13478-253";-22.73826;-47.320675
" Rua Operário Oswaldo dos Santos";" Chácara Machadinho II";" Americana/SP";"13478-230";-22.737061;-47.320705
" Rua Oscar Mendes";" Parque Nova Carioba";" Americana/SP";"13473-741";-22.709208;-47.320852
" Rua São Thiago";" São Manoel";" Americana/SP";"13472-230";-22.724854;-47.320879
" Rua Antonio Teogenio Bezerra Cavalcanti";" Loteamento Industrial 9 de Julho";" Americana/SP";"13474-697";-22.701521;-47.321089
" Rua João Fogo";" Parque Nova Carioba";" Americana/SP";"13473-807";-22.715091;-47.321179
" Rua Amazonas";" Chácara Machadinho II";" Americana/SP";"13478-240";-22.742379;-47.321222
" Avenida Attilio Dextro";" Parque Nova Carioba";" Americana/SP";"13473-758";-22.714506;-47.321227
" Rua São Clemente";" Cariobinha";" Americana/SP";"13472-403";-22.724609;-47.321259
" Rua Antônio Politano";" Parque Nova Carioba";" Americana/SP";"13473-774";-22.716197;-47.32128
" Rua São Simão";" Cariobinha";" Americana/SP";"13472-360";-22.72438;-47.321624
" Rua Getúlio Ferrez Lopes";" Parque Nova Carioba";" Americana/SP";"13473-748";-22.710166;-47.321628
" Rua Nara Leão";" Parque Residencial Jaguari";" Americana/SP";"13473-651";-22.718071;-47.321659
" Rua São Bento";" Cariobinha";" Americana/SP";"13472-370";-22.725592;-47.321684
" Rua Sebastião Otero";" Parque Nova Carioba";" Americana/SP";"13473-752";-22.710676;-47.321715
" Praça Zumbi dos Palmares";" Loteamento Residencial Industrial João Santarosa";" Americana/SP";"13477-329";-22.755062;-47.321724
" Rua Vicente Saciloto";" Nova Americana";" Americana/SP";"13466-070";-22.754;-47.321754
" Rua Paraná";" Vila Nossa Senhora de Fátima";" Americana/SP";"13478-560";-22.740228;-47.32176
" Rua Emílio Leão Brambilla";" Jardim Santana";" Americana/SP";"13478-170";-22.733736;-47.321772
" Rua Antônio Justi";" Parque Nova Carioba";" Americana/SP";"13473-801";-22.716692;-47.32179
" Praça Doutor Fernando Costa";" Vila Cordenonsi";" Americana/SP";"13472-529";-22.730892;-47.32179
" Rua Angela Maria";" Parque Residencial Jaguari";" Americana/SP";"13473-701";-22.71909;-47.321855
" Rua São Matheus";" São Manoel";" Americana/SP";"13472-180";-22.72989;-47.321855
" Rua Carlos Sturari";" Parque Nova Carioba";" Americana/SP";"13473-754";-22.711219;-47.321875
" Rua João José Chinelato";" Jardim Santana";" Americana/SP";"13478-119";-22.736701;-47.321877
" Rua Tupis";" Nova Americana";" Americana/SP";"13466-130";-22.753902;-47.321881
" Rua Celestina Scarazzato Giordano";" Parque Nova Carioba";" Americana/SP";"13473-771";-22.716104;-47.321915
" Rua Elizário Leite Penteado";" Jardim Santana";" Americana/SP";"13478-160";-22.734033;-47.321938
" Rua Paschoal Travaglia";" Parque Nova Carioba";" Americana/SP";"13473-768";-22.71599;-47.322057
" Rua B";" Jardim Progresso";" Americana/SP";"13476-150";-22.743068;-47.322115
" Rua Maranhão";" Jardim Colina";" Americana/SP";"13478-260";-22.741165;-47.32222
" Rua José Nicoletti";" Parque Nova Carioba";" Americana/SP";"13473-756";-22.711892;-47.322402
" Rua Moacyr Neves Grillo";" Parque Nova Carioba";" Americana/SP";"13473-829";-22.719092;-47.322402
" Rua São José";" Cariobinha";" Americana/SP";"13472-404";-22.72389;-47.322466
" Rua Jaime Gabriel dos Santos";" Chácara Machadinho II";" Americana/SP";"13478-250";-22.744692;-47.322466
" Praça Rubens Oscar Guelli";" São Manoel";" Americana/SP";"13472-219";-22.731291;-47.322466
" Rua Anselmo Formentini";" Parque Nova Carioba";" Americana/SP";"13473-827";-22.718402;-47.322572
" Praça da Bíblia";" Jardim Santana";" Americana/SP";"13478-179";-22.732273;-47.322643
" Rua Tupinambás";" Nova Americana";" Americana/SP";"13466-110";-22.751856;-47.322685
" Rua São Sérgio";" Jardim Esplanada";" Americana/SP";"13472-608";-22.719524;-47.322944
" Rua Joaquim Américo de Oliveira";" Parque Nova Carioba";" Americana/SP";"13473-820";-22.716875;-47.322947
" Avenida Paulista";" Vila Nossa Senhora de Fátima";" Americana/SP";"13478-580";-22.737686;-47.322967
" Rua Jorge Stecke";" Loteamento Residencial Industrial João Santarosa";" Americana/SP";"13477-321";-22.732109;-47.322989
" Rua São Teodoro";" Parque Residencial Jaguari";" Americana/SP";"13473-657";-22.724586;-47.323038
" Estrada Velha de Limeira";" Cariobinha";" Americana/SP";"13472-410";-22.725492;-47.323078
" Rua Carlos Benotto";" Jardim Santana";" Americana/SP";"13478-150";-22.733292;-47.323078
" Rua Guaranis";" Nova Americana";" Americana/SP";"13466-140";-22.755093;-47.323078
" Rua Tapajós";" Brieds";" Americana/SP";"13466-181";-22.75784;-47.323184
" Rua Antônio Sarra";" Parque Nova Carioba";" Americana/SP";"13473-814";-22.715658;-47.323279
" Rua Paracelso Fonseca";" Parque Nova Carioba";" Americana/SP";"13473-817";-22.716217;-47.323308
" Rua Walter Garbo";" Parque Nova Carioba";" Americana/SP";"13473-823";-22.717374;-47.323358
" Rua Dorival Alex Bortoleto";" Loteamento Industrial 9 de Julho";" Americana/SP";"13474-696";-22.697727;-47.323432
" Rua Carijós";" Nova Americana";" Americana/SP";"13466-170";-22.758629;-47.323484
" Rua Sergipe";" Jardim Colina";" Americana/SP";"13478-295";-22.742059;-47.323615
" Rua São Braz";" Jardim Esplanada";" Americana/SP";"13472-604";-22.720268;-47.323627
" Rua Aimorés";" Nova Americana";" Americana/SP";"13466-160";-22.757447;-47.323635
" Rua São Sebastião";" Cariobinha";" Americana/SP";"13472-400";-22.726151;-47.323648
" Rua Santo André";" Cariobinha";" Americana/SP";"13472-405";-22.723207;-47.32367
" Rua Bahia";" Chácara Machadinho II";" Americana/SP";"13478-241";-22.744293;-47.323689
" Rua B";" Campo Limpo";" Americana/SP";"13477-021";-22.726853;-47.323723
" Rua Doutor João Zanaga";" Chácara Machadinho II";" Americana/SP";"13478-220";-22.737881;-47.323847
" Rua São Tarcísio";" Jardim Esplanada";" Americana/SP";"13472-600";-22.721536;-47.323889
" Rua Fortunato Varolo";" Parque Nova Carioba";" Americana/SP";"13473-825";-22.717825;-47.3239
" Rua Professora Eluiza Helena Samogim Spilla";" Jardim Pau Brasil";" Americana/SP";"13472-663";-22.720356;-47.323962
" Rua Guaicurus";" Nova Americana";" Americana/SP";"13466-100";-22.750802;-47.323995
" Rua do Vidraceiro";" Jardim Portal da Colina";" Americana/SP";"13478-541";-22.75198;-47.324006
" Rua Santa Marta";" Jardim Esplanada";" Americana/SP";"13472-602";-22.720987;-47.32404
" Rua São Bartolomeu";" Jardim Esplanada";" Americana/SP";"13472-606";-22.719985;-47.324205
" Rua Henrique Cordenonsi";" Vila Cordenonsi";" Americana/SP";"13472-470";-22.727435;-47.324214
" Rua Paraíba";" Chácara Machadinho I";" Americana/SP";"13478-090";-22.739216;-47.324247
" Rua Dom Pedro II";" Centro";" Americana/SP";"13465-040";-22.75618;-47.324303
" Rua Joaquim Chiquinho";" Jardim Santana";" Americana/SP";"13478-152";-22.733181;-47.324521
" Rua Brigadeiro Faria Lima";" Chácara Machadinho II";" Americana/SP";"13478-210";-22.737879;-47.324535
" Rua Tapuias";" Brieds";" Americana/SP";"13466-183";-22.758188;-47.324564
" Rua Guanabara";" Chácara Machadinho I";" Americana/SP";"13478-100";-22.7368;-47.324578
" Rua Inezita Barroso";" Parque Nova Carioba";" Americana/SP";"13473-750";-22.713035;-47.3246
" Rua dos Estudantes";" Vila Cordenonsi";" Americana/SP";"13472-510";-22.7307;-47.324639
" Avenida Comendador Thomaz Fortunato";" Boa Esperança";" Americana/SP";"13475-230";-22.740229;-47.32468
" Rua Caetés";" Nova Americana";" Americana/SP";"13466-150";-22.756555;-47.324756
" Estrada de Servidão Cacilda Camargo";" Olho DÁgua";" Americana/SP";"13476-810";-22.734048;-47.324844
" Rua Roraima";" Chácara Machadinho I";" Americana/SP";"13478-051";-22.741497;-47.324847
" Rua Silvino Bonassi";" Nova Americana";" Americana/SP";"13466-080";-22.753196;-47.324874
" Rua Chavantes";" Nova Americana";" Americana/SP";"13466-120";-22.75322;-47.324905
" Avenida da Música";" Parque Residencial Jaguari";" Americana/SP";"13473-650";-22.713891;-47.325041
" Rua Um";" Loteamento Industrial Nossa Senhora de Fátima";" Americana/SP";"13478-821";-22.761634;-47.325051
" Rua Vito Baldin";" Parque Nova Carioba";" Americana/SP";"13473-765";-22.718288;-47.325075
" Rua Osvaldo Cruz";" Vila Cordenonsi";" Americana/SP";"13472-440";-22.729199;-47.325138
" Rua Primeiro de Maio";" Vila Cordenonsi";" Americana/SP";"13472-430";-22.728015;-47.325159
" Rua Emílio Horschutz";" Jardim Santana";" Americana/SP";"13478-151";-22.73348;-47.325179
" Rua Goitacazes";" Brieds";" Americana/SP";"13466-182";-22.758022;-47.325182
" Praça Natale Pinese";" São Manoel";" Americana/SP";"13472-239";-22.723132;-47.325302
" Rua Capitão Manoel dos Santos Sobrinho";" Vila Santa Catarina";" Americana/SP";"13466-270";-22.748252;-47.325346
" Rua Francisco Pinto Duarte";" Jardim Santana";" Americana/SP";"13478-110";-22.735972;-47.325348
" Rua Carlos Gomes da Silva";" Jardim Pau Brasil";" Americana/SP";"13472-660";-22.719154;-47.325357
" Rua Goiás";" Chácara Machadinho II";" Americana/SP";"13478-200";-22.737732;-47.325389
" Rua Tabajaras";" Brieds";" Americana/SP";"13466-184";-22.757928;-47.32547
" Rua Trinta e Oito";" Parque Residencial Jaguari";" Americana/SP";"13473-694";-22.719589;-47.325486
" Rua Trinta e Seis";" Parque Residencial Jaguari";" Americana/SP";"13473-692";-22.719588;-47.325486
" Praça Santos Dumont";" Jardim Santana";" Americana/SP";"13478-159";-22.734695;-47.325523
" Praça dos Veteranos";" Vila Nossa Senhora de Fátima";" Americana/SP";"13478-589";-22.736987;-47.325537
" Praça Francisco Soares de Souza";" Vila Nossa Senhora de Fátima";" Americana/SP";"13478-569";-22.736986;-47.325537
" Rua Paulo Chinelato";" Vila Cordenonsi";" Americana/SP";"13472-420";-22.728828;-47.325552
" Rua São Lucas";" Parque Residencial Jaguari";" Americana/SP";"13473-654";-22.724846;-47.325587
" Rua São Lucas";" Jardim Nossa Senhora do Carmo";" Americana/SP";"13472-295";-22.724866;-47.325602
" Rua Roque Faraone";" Vila Cordenonsi";" Americana/SP";"13472-480";-22.730039;-47.325798
" Rua Guaianazes";" Brieds";" Americana/SP";"13466-200";-22.756477;-47.325845
" Rua Valentim Marton";" Jardim Santana";" Americana/SP";"13478-140";-22.733662;-47.325863
" Praça Antonio Lovessi";" Vila Nossa Senhora de Fátima";" Americana/SP";"13478-579";-22.722185;-47.325876
" Rua Tercília Bortoletto Sacilotto";" Jardim Pau Brasil";" Americana/SP";"13472-662";-22.718557;-47.325966
" Rua Turunas";" Brieds";" Americana/SP";"13466-185";-22.758017;-47.325972
" Rua da Leiteria";" Carioba";" Americana/SP";"13472-715";-22.716596;-47.325982
" Rua Tupiniquins";" Brieds";" Americana/SP";"13466-220";-22.75459;-47.325989
" Rua Caiapós";" Brieds";" Americana/SP";"13466-230";-22.75496;-47.325993
" Avenida Bandeirantes";" Chácara Machadinho II";" Americana/SP";"13478-242";-22.743188;-47.326003
" Rua Vitalina de Jesus Boraschi";" Jardim Pau Brasil";" Americana/SP";"13472-654";-22.719332;-47.32606
" Rua da Igreja";" Carioba";" Americana/SP";"13472-718";-22.715497;-47.32607
" Rua Minas Gerais";" Chácara Machadinho II";" Americana/SP";"13478-190";-22.737448;-47.326072
" Rua Valdomiro Mineiro";" Jardim Pau Brasil";" Americana/SP";"13472-655";-22.720444;-47.32609
" Rua Bororós";" Conserva";" Americana/SP";"13466-020";-22.745667;-47.326115
" Rua Paul Harris";" Nova Americana";" Americana/SP";"13466-050";-22.753309;-47.326119
" Rua Maestro Sílvio Bianchi";" Vila Cordenonsi";" Americana/SP";"13472-490";-22.730747;-47.326256
" Rua Francisco Monlevade";" Jardim Santana";" Americana/SP";"13478-133";-22.733891;-47.326571
" Travessa João Batista Dei Santi";" Chácara Machadinho I";" Americana/SP";"13478-071";-22.737724;-47.326581
" Travessa Domingos de Jesus";" Jardim Santana";" Americana/SP";"13478-132";-22.733498;-47.326681
" Rua Rondônia";" Chácara Machadinho I";" Americana/SP";"13478-050";-22.74145;-47.326713
" Rua Professor Francisco de Castro";" Vila Cordenonsi";" Americana/SP";"13472-530";-22.732442;-47.326716
" Rua José Basseto";" Jardim Santana";" Americana/SP";"13478-111";-22.736298;-47.326753
" Praça Doutor Newton Worschec";" Nossa Senhora de Fátima";" Americana/SP";"13478-349";-22.732318;-47.326787
" Rua André Rebouças";" Jardim Santana";" Americana/SP";"13478-131";-22.734362;-47.326962
" Rua Rio de Janeiro";" Chácara Machadinho I";" Americana/SP";"13478-060";-22.739925;-47.32697
" Rua Antonio Bertalia";" Jardim Pau Brasil";" Americana/SP";"13472-658";-22.720263;-47.326974
" Rua Professor Ignácio Dias Leme";" Vila Cordenonsi";" Americana/SP";"13472-500";-22.731457;-47.326976
" Avenida Angelina Pascote";" Bom Recreio";" Americana/SP";"13478-830";-22.74096;-47.327101
" Rua Alcides Seleghini";" Loteamento Residencial Jardim dos Ipês Amarelos";" Americana/SP";"13472-582";-22.72596;-47.327245
" Rua Antenor Fiorini";" Loteamento Residencial Jardim dos Ipês Amarelos";" Americana/SP";"13472-576";-22.72596;-47.327245
" Rua Carioba";" Loteamento Residencial Jardim dos Ipês Amarelos";" Americana/SP";"13472-571";-22.72596;-47.327245
" Rua Francisco Sarra";" Loteamento Residencial Jardim dos Ipês Amarelos";" Americana/SP";"13472-574";-22.72596;-47.327245
" Rua José Martins Junior";" Loteamento Residencial Jardim dos Ipês Amarelos";" Americana/SP";"13472-588";-22.72596;-47.327245
" Rua Majorino José Castione";" Loteamento Residencial Jardim dos Ipês Amarelos";" Americana/SP";"13472-586";-22.72596;-47.327245
" Rua Manoel Mendes";" Loteamento Residencial Jardim dos Ipês Amarelos";" Americana/SP";"13472-590";-22.72596;-47.327245
" Rua Napoleão Formentini";" Loteamento Residencial Jardim dos Ipês Amarelos";" Americana/SP";"13472-578";-22.72596;-47.327245
" Rua Octavio Egisto Michelucci";" Loteamento Residencial Jardim dos Ipês Amarelos";" Americana/SP";"13472-584";-22.72596;-47.327245
" Rua Odette Pântano dei Santi";" Loteamento Residencial Jardim dos Ipês Amarelos";" Americana/SP";"13472-572";-22.72596;-47.327245
" Rua Paulino José Nardo";" Loteamento Residencial Jardim dos Ipês Amarelos";" Americana/SP";"13472-580";-22.72596;-47.327245
" Rua Tenente Jovelino Guatura dos Santos";" Jardim Pau Brasil";" Americana/SP";"13472-667";-22.71412;-47.327264
" Rua Gildo Boer";" Jardim Pau Brasil";" Americana/SP";"13472-665";-22.717835;-47.327304
" Rua Flávio Lopes";" Vila Cordenonsi";" Americana/SP";"13472-460";-22.728379;-47.327314
" Travessa Riachuelo";" Vila Santa Catarina";" Americana/SP";"13466-291";-22.750899;-47.327357
" Rua Saturnino de Brito";" Jardim Santana";" Americana/SP";"13478-130";-22.735382;-47.327388
" Rua José Ardito";" Jardim Pau Brasil";" Americana/SP";"13472-666";-22.713687;-47.327407
" Rua José Paciulli";" Jardim Pau Brasil";" Americana/SP";"13472-653";-22.718904;-47.327427
" Rua Cabo Oswaldo de Morais";" Conserva";" Americana/SP";"13466-030";-22.753618;-47.327476
" Rua José Bonifácio";" Chácara Machadinho I";" Americana/SP";"13478-040";-22.739524;-47.327517
" Avenida Carioba";" Carioba";" Americana/SP";"13472-717";-22.726694;-47.327723
" Rua Pernambuco";" Vila Nossa Senhora de Fátima";" Americana/SP";"13478-570";-22.738886;-47.327747
" Avenida Nove de Julho";" Leitão";" Americana/SP";"13465-081";-22.748401;-47.327747
" Rua Mato Grosso";" Chácara Machadinho I";" Americana/SP";"13478-080";-22.73849;-47.327784
" Praça Tiradentes";" Chácara Machadinho I";" Americana/SP";"13478-049";-22.739854;-47.327824
" Avenida Prefeito Abdo Najar";" Cidade Jardim I";" Americana/SP";"13466-615";-22.753978;-47.327855
" Rua Maria Cecília Pântano Dei Santi";" Loteamento Residencial Jardim dos Pinheiros";" Americana/SP";"13472-636";-22.727286;-47.327878
" Rua Uirapuru";" Jardim dos Lírios";" Americana/SP";"13467-273";-22.762463;-47.327941
" Rua Francisco Manoel";" Jardim Santana";" Americana/SP";"13478-116";-22.73696;-47.327984
" Rua Tamandaré";" Vila Galo";" Americana/SP";"13466-370";-22.753585;-47.328042
" Rua Antonio Simão de Souza";" Vila Cordenonsi";" Americana/SP";"13472-422";-22.728001;-47.328047
" Rua Coroados";" Conserva";" Americana/SP";"13466-010";-22.744817;-47.328077
" Rua Carlos Chagas";" Vila Cordenonsi";" Americana/SP";"13472-531";-22.732765;-47.328176
" Rua Duque de Caxias";" Brieds";" Americana/SP";"13466-190";-22.757433;-47.328306
" Rua Francisco Cano Sanches";" Vila Vitória";" Americana/SP";"13467-353";-22.770953;-47.328307
" Rua Walter Milton Gobbo";" Loteamento Residencial Jardim dos Pinheiros";" Americana/SP";"13472-634";-22.723414;-47.328371
" Rua Maria Benedicta Lima Della Torre";" Loteamento Residencial Jardim dos Pinheiros";" Americana/SP";"13472-640";-22.725042;-47.328409
" Rua Piauí";" Chácara Machadinho I";" Americana/SP";"13478-070";-22.739757;-47.328493
" Rua Marilde Terezinha Zuardi Arcaro";" Loteamento Residencial Jardim dos Pinheiros";" Americana/SP";"13472-638";-22.727163;-47.328513
" Rua Cardeal";" Jardim dos Lírios";" Americana/SP";"13467-252";-22.761904;-47.328515
" Rua Tarquínio Benencase";" Jardim Santana";" Americana/SP";"13478-120";-22.7357;-47.32858
" Rua Vicente Morelli";" Jardim Santana";" Americana/SP";"13478-125";-22.7345;-47.32858
" Rua dos Buritis";" Vila Mathiesen";" Americana/SP";"13467-305";-22.76632;-47.328681
" Rua Professor Miguel Couto";" Vila Cordenonsi";" Americana/SP";"13472-450";-22.728468;-47.328698
" Avenida da Saudade";" Vila Cordenonsi";" Americana/SP";"13472-520";-22.733096;-47.32871
" Rua Waldomiro França";" Loteamento Residencial Jardim dos Pinheiros";" Americana/SP";"13472-639";-22.725787;-47.328766
" Rua Paissandu";" Vila Galo";" Americana/SP";"13466-360";-22.752619;-47.328804
" Rua Olga Bastos Traballi Tardeli";" Loteamento Residencial Jardim dos Pinheiros";" Americana/SP";"13472-641";-22.723188;-47.328852
" Rua das Graúnas";" Vila Mathiesen";" Americana/SP";"13467-312";-22.76926;-47.329043
" Rua Irati";" Conserva";" Americana/SP";"13466-001";-22.744808;-47.329105
" Rua Diogo de Faria";" Vila Cordenonsi";" Americana/SP";"13472-550";-22.731174;-47.329106
" Rua Humaitá";" Vila Galo";" Americana/SP";"13466-380";-22.754205;-47.329113
" Rua Benjamin Batista";" Vila Cordenonsi";" Americana/SP";"13472-532";-22.732593;-47.329173
" Rua dos Faisões";" Vila Mathiesen";" Americana/SP";"13467-306";-22.766553;-47.329184
" Rua Beija-Flor";" Jardim dos Lírios";" Americana/SP";"13467-251";-22.761103;-47.329191
" Rua João de Barro";" Jardim dos Lírios";" Americana/SP";"13467-250";-22.760704;-47.329191
" Rua Jurití";" Jardim dos Lírios";" Americana/SP";"13467-272";-22.763072;-47.329213
" Rua Theodolindo Pedro Mastrodi";" Loteamento Residencial Jardim dos Pinheiros";" Americana/SP";"13472-637";-22.728928;-47.329217
" Rua Timbiras";" Brieds";" Americana/SP";"13466-210";-22.756593;-47.329378
" Rua Oscar Adolpho Berggren";" Loteamento Industrial 9 de Julho";" Americana/SP";"13474-688";-22.696065;-47.329386
" Rua Padre Avelino Canazza";" Vila Galo";" Americana/SP";"13466-340";-22.751993;-47.329416
" Rua Pica-Pau";" Jardim dos Lírios";" Americana/SP";"13467-261";-22.764964;-47.329545
" Rua das Jandaias";" Vila Mathiesen";" Americana/SP";"13467-311";-22.768183;-47.329586
" Rua Professor Roquete Pinto";" Jardim Santana";" Americana/SP";"13478-115";-22.735684;-47.329604
" Rua Marechal Floriano Peixoto";" Centro";" Americana/SP";"13465-080";-22.74372;-47.329676
" Rua José Alves da Cunha";" Jardim Santana";" Americana/SP";"13478-124";-22.737519;-47.329717
" Rua Jaçanã";" Jardim dos Lírios";" Americana/SP";"13467-271";-22.763111;-47.329738
" Avenida da Música";" Parque Nova Carioba";" Americana/SP";"13473-710";-22.714885;-47.329794
" Rua Padre Feijó";" Jardim Santana";" Americana/SP";"13478-128";-22.738502;-47.329803
" Rua Padre Anchieta";" Vila Pavan";" Americana/SP";"13465-090";-22.745817;-47.329822
" Rua do Urânio";" Vila Biasi";" Americana/SP";"13466-707";-22.757686;-47.329865
" Rua dos Canários";" Vila Mathiesen";" Americana/SP";"13467-300";-22.768573;-47.329901
" Rua Carioba";" Jardim Santana";" Americana/SP";"13478-112";-22.735724;-47.329924
" Rua Maria Lucia Nascimento Capozzi";" Loteamento Residencial Jardim dos Pinheiros";" Americana/SP";"13472-631";-22.723979;-47.330028
" Rua Azulão";" Jardim dos Lírios";" Americana/SP";"13467-264";-22.762555;-47.330086
" Rua Almeida Júnior";" Jardim Santana";" Americana/SP";"13478-117";-22.737067;-47.330143
" Rua Carlos Gomes";" Jardim Santana";" Americana/SP";"13478-118";-22.738387;-47.330171
" Rua Rio Branco";" Centro";" Americana/SP";"13465-030";-22.741216;-47.330197
" Rua do Cobre";" Vila Biasi";" Americana/SP";"13466-706";-22.758228;-47.330323
" Rua Amor-Perfeito";" Jardim das Flores";" Americana/SP";"13467-280";-22.764908;-47.330349
" Rua Sálvia";" Jardim das Flores";" Americana/SP";"13467-282";-22.766108;-47.330349
" Rua das Araras";" Vila Mathiesen";" Americana/SP";"13467-301";-22.767308;-47.330349
" Rua dos Patativas";" Vila Mathiesen";" Americana/SP";"13467-302";-22.767107;-47.330349
" Rua Benjamin Constant";" Centro";" Americana/SP";"13465-070";-22.743503;-47.330414
" Rua do Alumínio";" Vila Biasi";" Americana/SP";"13466-701";-22.757305;-47.330414
" Avenida ASTA";" Vila Vitória";" Americana/SP";"13467-350";-22.771107;-47.330414
" Rua Torres Homem";" Vila Cordenonsi";" Americana/SP";"13472-540";-22.73285;-47.330544
" Rua Andorinhas";" Jardim dos Lírios";" Americana/SP";"13467-263";-22.762596;-47.330613
" Praça Doutor Benedito Cunha Campos";" Parque Nova Carioba";" Americana/SP";"13473-831";-22.717031;-47.330634
" Praça Luiz Afonso";" Parque Nova Carioba";" Americana/SP";"13473-833";-22.71703;-47.330634
" Rua dos Curiós";" Vila Mathiesen";" Americana/SP";"13467-321";-22.770243;-47.330762
" Avenida Bandeirantes";" Jardim Bela Vista";" Americana/SP";"13471-239";-22.729074;-47.33078
" Avenida Bandeirantes";" Vila Cordenonsi";" Americana/SP";"13472-555";-22.729074;-47.33078
" Rua dos Diamantes";" Vila Biasi";" Americana/SP";"13466-702";-22.75763;-47.330786
" Rua Perdizes";" Jardim dos Lírios";" Americana/SP";"13467-260";-22.764213;-47.330816
" Rua Marechal Deodoro";" Centro";" Americana/SP";"13465-050";-22.74219;-47.330829
" Travessa Flor de Maio";" Cidade Jardim II";" Americana/SP";"13467-088";-22.76063;-47.33094
" Rua Carioba";" Centro";" Americana/SP";"13465-015";-22.736905;-47.330961
" Rua dos Sabiás";" Vila Mathiesen";" Americana/SP";"13467-304";-22.768786;-47.330997
" Rua Ema";" Jardim dos Lírios";" Americana/SP";"13467-270";-22.762306;-47.331025
" Rua Bandeira Branca";" Jardim das Flores";" Americana/SP";"13467-283";-22.764506;-47.331025
" Rua Ricardo Matthiesen Silva";" Loteamento Residencial e Comercial Bairro Pacaembu";" Americana/SP";"13470-806";-22.742498;-47.331042
" Rua Gavião";" Jardim dos Lírios";" Americana/SP";"13467-262";-22.762638;-47.331135
" Travessa Avencas";" Cidade Jardim II";" Americana/SP";"13467-087";-22.760649;-47.33121
" Rua da Represa";" Carioba";" Americana/SP";"13472-723";-22.714565;-47.331237
" Rua do Manganês";" Vila Biasi";" Americana/SP";"13466-705";-22.758075;-47.331264
" Rua Bruno Bombonatti";" Jardim Santana";" Americana/SP";"13478-113";-22.735308;-47.331366
" Rua Joaquim Luiz de Mattos";" Centro";" Americana/SP";"13465-530";-22.739431;-47.33145
" Rua do Ouro";" Vila Biasi";" Americana/SP";"13466-704";-22.758887;-47.33145
" Rua Capitão Corrêa Pacheco";" Centro";" Americana/SP";"13465-010";-22.736317;-47.331454
" Travessa Lantana";" Cidade Jardim II";" Americana/SP";"13467-086";-22.760665;-47.331475
" Via Projetada 2";" Jardim Recanto";" Americana/SP";"13467-275";-22.762053;-47.331496
" Avenida Comendador Thomaz Fortunato";" Chácaras São Francisco";" Americana/SP";"13475-220";-22.749538;-47.331513
" Praça Comendador Müller";" Centro";" Americana/SP";"13465-289";-22.739906;-47.331572
" Rua Zaira Nardini Minozzi";" Jardim Lizandra";" Americana/SP";"13471-324";-22.723104;-47.331572
" Praça Quinze de Novembro";" Centro";" Americana/SP";"13465-009";-22.741505;-47.331637
" Rua Prímula";" Jardim das Flores";" Americana/SP";"13467-281";-22.765508;-47.331637
" Praça José Porteiro";" Jardim Santana";" Americana/SP";"13478-114";-22.735504;-47.331637
" Rua Itororó";" Vila Santa Catarina";" Americana/SP";"13466-240";-22.747506;-47.331637
" Rua das Seriemas";" Vila Mathiesen";" Americana/SP";"13467-310";-22.765147;-47.331672
" Praça Sebastião de Paula";" Jardim Lizandra";" Americana/SP";"13471-329";-22.724617;-47.331683
" Praça Catarina Zanaga";" Jardim Marcia Cristina";" Americana/SP";"13466-679";-22.724617;-47.331683
" Rua Araras";" Jardim Jacyra";" Americana/SP";"13467-062";-22.767085;-47.331734
" Rua das Cotovias";" Vila Mathiesen";" Americana/SP";"13467-322";-22.769554;-47.331763
" Rua Fernando Camargo";" Centro";" Americana/SP";"13465-020";-22.742726;-47.331808
" Rua dos Narcisos";" Vila Mathiesen";" Americana/SP";"13467-340";-22.768036;-47.331943
" Travessa Ipomeias";" Cidade Jardim II";" Americana/SP";"13467-084";-22.760709;-47.331998
" Rua Rouxinol";" Vila Mathiesen";" Americana/SP";"13467-326";-22.77085;-47.332038
" Rua das Arapongas";" Vila Mathiesen";" Americana/SP";"13467-325";-22.76909;-47.332042
" Praça Romeu Sturari";" Vila Santa Catarina";" Americana/SP";"13466-325";-22.754879;-47.332143
" Avenida Bandeirantes";" Vila Santa Mônica";" Americana/SP";"13478-126";-22.736511;-47.332153
" Rua dos Pintassilgos";" Vila Mathiesen";" Americana/SP";"13467-324";-22.769712;-47.332184
" Praça dos Expedicionários";" Vila Pavan";" Americana/SP";"13465-109";-22.746308;-47.332184
" Praça da Matriz";" Centro";" Americana/SP";"13465-019";-22.736983;-47.332225
" Travessa Vitória Régia";" Cidade Jardim II";" Americana/SP";"13467-085";-22.760908;-47.332248
" Travessa Clivia";" Cidade Jardim II";" Americana/SP";"13467-083";-22.760723;-47.332258
" Rua Ari Meireles";" Vila Santa Catarina";" Americana/SP";"13466-310";-22.750395;-47.332292
" Rua Jorge Jones";" Centro";" Americana/SP";"13465-310";-22.736206;-47.332347
" Praça Melvin Jones";" Brieds";" Americana/SP";"13466-189";-22.750795;-47.332442
