"RUA";"BAIRRO";"CIDADE";"CEP";"LATITUDE";"LONGITUDE"
" Praça Luiz Geraldo Mirandola";" Riviera Tamborlim";" Americana/SP";"13475-219";-22.720728;-47.291123
" Rua Alferes Lowchinovscy";" São Jerônimo";" Americana/SP";"13470-830";-22.720722;-47.322024
" Avenida Comendador Thomaz Fortunato";" Tapera";" Americana/SP";"13475-380";-22.720711;-47.322024
" Praça Presidente J K";" Vila Biasi";" Americana/SP";"13466-709";-22.757178;-47.330025
" Avenida Jaguari";" Vila Dainese";" Americana/SP";"13469-521";-22.731181;-47.361768
" Avenida Ricieri Covessi";" Vila Israel";" Americana/SP";"13478-530";-22.738887;-47.323398
" Praça Manoel de Abreu";" Vila Jones";" Americana/SP";"13465-549";-22.740268;-47.341615
" Rua Licínio Pinto Sério";" Vila Jones";" Americana/SP";"13465-555";-22.740268;-47.341615
" Praça Recanto do Viver";" Vila Margarida";" Americana/SP";"13473-299";-22.723956;-47.30979
" Rua Sergipe";" Vila Nossa Senhora de Fátima";" Americana/SP";"13478-550";-22.741745;-47.32075
" Praça Baptista Frezzarim";" Vila São Pedro";" Americana/SP";"13466-509";-22.744494;-47.352037
" Praça Maçônica";" Werner Plaas";" Americana/SP";"13478-359";-22.744491;-47.352037
" Rua Um";" Vila Margarida";" Americana/SP";"13473-292";-23.968762;-46.414594
" Rua Projetada";" Parque Primavera";" Americana/SP";"13474-013";-23.404015;-46.497562
" Rua Manaus";" Vila Nossa Senhora de Fátima";" Americana/SP";"13478-636";-23.459043;-46.507424
" Rua das Caneleiras";" Jardim Glória";" Americana/SP";"13468-240";-23.647491;-46.545889
" Rua dos Bem-Te-Vis";" Vila Mathiesen";" Americana/SP";"13467-320";-23.154242;-46.711266
" Praça Trinta e Um de Março";" Centro";" Americana/SP";"13465-269";-23.52547;-46.79217
" Rua Quatro";" São Benedito";" Americana/SP";"13476-673";-22.719803;-47.209216
" Rua Guilherme Schimidt";" São Benedito";" Americana/SP";"13476-653";-22.744129;-47.235906
" Rua Albano Ferreira Jorge";" Monte Carlo";" Americana/SP";"13476-713";-22.736225;-47.235936
" Rua José Naccarato";" Balneário Riviera";" Americana/SP";"13476-801";-22.740122;-47.236343
" Rua Vicente Sarra";" Balneário Riviera";" Americana/SP";"13476-780";-22.740114;-47.236832
" Rua Piauí";" Monte Carlo";" Americana/SP";"13476-712";-22.73653;-47.236886
" Rua Francisco Facão";" Balneário Riviera";" Americana/SP";"13476-794";-22.739888;-47.237428
" Rua Quinto Ferramola";" Balneário Riviera";" Americana/SP";"13476-800";-22.73938;-47.237474
" Rua José Bueno de Camargo";" Parque Dom Pedro II";" Americana/SP";"13476-644";-22.742905;-47.237608
" Rua Alexandre Georgette";" Balneário Riviera";" Americana/SP";"13476-796";-22.738888;-47.237831
" Rua Luiz Corsi";" Balneário Riviera";" Americana/SP";"13476-760";-22.740062;-47.238046
" Estrada Cirilo Alves Pereira";" Monte Carlo";" Americana/SP";"13476-714";-22.736549;-47.238169
" Rua Luiz Trevizolli";" Balneário Riviera";" Americana/SP";"13476-795";-22.739331;-47.238223
" Rua Augusto Jacob";" São Benedito";" Americana/SP";"13476-652";-22.742473;-47.238674
" Rua Santa Catarina";" Monte Carlo";" Americana/SP";"13476-698";-22.736932;-47.238717
" Rua José Costa Lopes";" São Benedito";" Americana/SP";"13476-650";-22.743869;-47.238759
" Rua Goiás";" Monte Carlo";" Americana/SP";"13476-711";-22.735981;-47.239086
" Rua Brasil";" Balneário Salto Grande";" Americana/SP";"13476-732";-22.733943;-47.239221
" Avenida São Paulo";" Balneário Salto Grande";" Americana/SP";"13476-730";-22.733335;-47.239327
" Rua Bandeirantes";" Balneário Salto Grande";" Americana/SP";"13476-731";-22.733738;-47.239327
" Rua Bernardino Rubbo";" Balneário Riviera";" Americana/SP";"13476-790";-22.740927;-47.239394
" Rua João Ranieri";" Parque Dom Pedro II";" Americana/SP";"13476-643";-22.744725;-47.239394
" Rua Pará";" Monte Carlo";" Americana/SP";"13476-720";-22.734761;-47.239691
